Date,Country,Platform,DAU,Impressions
01.01.2017,GERMANY,iOS,17707,82077
01.01.2017,GERMANY,Android,26544,111399
01.01.2017,UNITED KINGDOM,iOS,37218,137807
01.01.2017,UNITED KINGDOM,Android,20247,62276
01.01.2017,UNITED STATES,iOS,203169,736076
01.01.2017,UNITED STATES,Android,138085,417820
01.01.2017,FRANCE,iOS,16130,49722
01.01.2017,FRANCE,Android,20635,55043
01.01.2017,AUSTRALIA,iOS,11247,37092
01.01.2017,AUSTRALIA,Android,3705,10739
01.01.2017,CANADA,iOS,22870,82074
01.01.2017,CANADA,Android,9057,26090
02.01.2017,GERMANY,iOS,17698,75922
02.01.2017,GERMANY,Android,26948,110801
02.01.2017,UNITED KINGDOM,iOS,37353,143322
02.01.2017,UNITED KINGDOM,Android,20582,64596
02.01.2017,UNITED STATES,iOS,214654,844601
02.01.2017,UNITED STATES,Android,145250,474991
02.01.2017,FRANCE,iOS,16317,47495
02.01.2017,FRANCE,Android,21025,51762
02.01.2017,AUSTRALIA,iOS,11336,36835
02.01.2017,AUSTRALIA,Android,3795,11093
02.01.2017,CANADA,iOS,24180,96051
02.01.2017,CANADA,Android,9621,30554
03.01.2017,GERMANY,iOS,17685,80647
03.01.2017,GERMANY,Android,26873,112586
03.01.2017,UNITED KINGDOM,iOS,36467,132230
03.01.2017,UNITED KINGDOM,Android,19707,62308
03.01.2017,UNITED STATES,iOS,206658,766164
03.01.2017,UNITED STATES,Android,141238,444619
03.01.2017,FRANCE,iOS,15542,44616
03.01.2017,FRANCE,Android,19727,51860
03.01.2017,AUSTRALIA,iOS,11106,36115
03.01.2017,AUSTRALIA,Android,3842,10547
03.01.2017,CANADA,iOS,23877,90674
03.01.2017,CANADA,Android,9544,29785
04.01.2017,GERMANY,iOS,17562,77851
04.01.2017,GERMANY,Android,26412,111648
04.01.2017,UNITED KINGDOM,iOS,35397,126406
04.01.2017,UNITED KINGDOM,Android,19377,59625
04.01.2017,UNITED STATES,iOS,201860,742733
04.01.2017,UNITED STATES,Android,138458,435418
04.01.2017,FRANCE,iOS,15892,44432
04.01.2017,FRANCE,Android,19941,51053
04.01.2017,AUSTRALIA,iOS,10987,35363
04.01.2017,AUSTRALIA,Android,3793,10134
04.01.2017,CANADA,iOS,23575,88563
04.01.2017,CANADA,Android,9489,28504
05.01.2017,GERMANY,iOS,17223,80377
05.01.2017,GERMANY,Android,25978,113399
05.01.2017,UNITED KINGDOM,iOS,34637,124729
05.01.2017,UNITED KINGDOM,Android,19029,58343
05.01.2017,UNITED STATES,iOS,200405,734342
05.01.2017,UNITED STATES,Android,138318,430146
05.01.2017,FRANCE,iOS,15255,42404
05.01.2017,FRANCE,Android,19155,46674
05.01.2017,AUSTRALIA,iOS,10890,35952
05.01.2017,AUSTRALIA,Android,3837,10472
05.01.2017,CANADA,iOS,23289,85932
05.01.2017,CANADA,Android,9514,27817
06.01.2017,GERMANY,iOS,17139,81778
06.01.2017,GERMANY,Android,25817,113669
06.01.2017,UNITED KINGDOM,iOS,34572,125378
06.01.2017,UNITED KINGDOM,Android,18805,57650
06.01.2017,UNITED STATES,iOS,200802,750422
06.01.2017,UNITED STATES,Android,137673,434523
06.01.2017,FRANCE,iOS,15276,42339
06.01.2017,FRANCE,Android,18821,46705
06.01.2017,AUSTRALIA,iOS,10822,36427
06.01.2017,AUSTRALIA,Android,3779,10512
06.01.2017,CANADA,iOS,22913,86533
06.01.2017,CANADA,Android,9194,27695
07.01.2017,GERMANY,iOS,17241,78645
07.01.2017,GERMANY,Android,25426,106369
07.01.2017,UNITED KINGDOM,iOS,35895,133944
07.01.2017,UNITED KINGDOM,Android,19635,59410
07.01.2017,UNITED STATES,iOS,209054,804522
07.01.2017,UNITED STATES,Android,142192,437053
07.01.2017,FRANCE,iOS,16187,44802
07.01.2017,FRANCE,Android,19575,47098
07.01.2017,AUSTRALIA,iOS,10738,37524
07.01.2017,AUSTRALIA,Android,3789,10685
07.01.2017,CANADA,iOS,23297,89771
07.01.2017,CANADA,Android,9352,28221
08.01.2017,GERMANY,iOS,17906,83042
08.01.2017,GERMANY,Android,26168,114004
08.01.2017,UNITED KINGDOM,iOS,37008,141456
08.01.2017,UNITED KINGDOM,Android,20193,65346
08.01.2017,UNITED STATES,iOS,212197,822490
08.01.2017,UNITED STATES,Android,145142,450936
08.01.2017,FRANCE,iOS,16789,51969
08.01.2017,FRANCE,Android,20580,53795
08.01.2017,AUSTRALIA,iOS,11029,37287
08.01.2017,AUSTRALIA,Android,3826,11014
08.01.2017,CANADA,iOS,23754,92923
08.01.2017,CANADA,Android,9467,29243
09.01.2017,GERMANY,iOS,17152,72197
09.01.2017,GERMANY,Android,25082,106898
09.01.2017,UNITED KINGDOM,iOS,34790,119774
09.01.2017,UNITED KINGDOM,Android,19028,57008
09.01.2017,UNITED STATES,iOS,199902,720437
09.01.2017,UNITED STATES,Android,138032,406777
09.01.2017,FRANCE,iOS,15601,38379
09.01.2017,FRANCE,Android,18920,46996
09.01.2017,AUSTRALIA,iOS,10781,29311
09.01.2017,AUSTRALIA,Android,3745,9893
09.01.2017,CANADA,iOS,22388,81458
09.01.2017,CANADA,Android,9047,26240
10.01.2017,GERMANY,iOS,17046,79377
10.01.2017,GERMANY,Android,24643,111140
10.01.2017,UNITED KINGDOM,iOS,34574,120760
10.01.2017,UNITED KINGDOM,Android,18335,56826
10.01.2017,UNITED STATES,iOS,198020,724699
10.01.2017,UNITED STATES,Android,135514,401928
10.01.2017,FRANCE,iOS,15378,44836
10.01.2017,FRANCE,Android,18164,46089
10.01.2017,AUSTRALIA,iOS,10711,33956
10.01.2017,AUSTRALIA,Android,3648,9716
10.01.2017,CANADA,iOS,22251,82582
10.01.2017,CANADA,Android,8957,26425
11.01.2017,GERMANY,iOS,17165,79627
11.01.2017,GERMANY,Android,24676,114016
11.01.2017,UNITED KINGDOM,iOS,34245,118784
11.01.2017,UNITED KINGDOM,Android,18513,58171
11.01.2017,UNITED STATES,iOS,197409,691302
11.01.2017,UNITED STATES,Android,135751,400935
11.01.2017,FRANCE,iOS,15170,42559
11.01.2017,FRANCE,Android,18472,47162
11.01.2017,AUSTRALIA,iOS,10577,33387
11.01.2017,AUSTRALIA,Android,3620,9557
11.01.2017,CANADA,iOS,21926,78573
11.01.2017,CANADA,Android,8930,25780
12.01.2017,GERMANY,iOS,16898,67643
12.01.2017,GERMANY,Android,24442,93223
12.01.2017,UNITED KINGDOM,iOS,34010,104330
12.01.2017,UNITED KINGDOM,Android,18508,50695
12.01.2017,UNITED STATES,iOS,195100,651024
12.01.2017,UNITED STATES,Android,135491,377712
12.01.2017,FRANCE,iOS,15062,38182
12.01.2017,FRANCE,Android,18085,42125
12.01.2017,AUSTRALIA,iOS,10498,31479
12.01.2017,AUSTRALIA,Android,3591,9165
12.01.2017,CANADA,iOS,21674,75436
12.01.2017,CANADA,Android,8916,24426
13.01.2017,GERMANY,iOS,16908,64327
13.01.2017,GERMANY,Android,24425,85733
13.01.2017,UNITED KINGDOM,iOS,33623,97260
13.01.2017,UNITED KINGDOM,Android,17938,46662
13.01.2017,UNITED STATES,iOS,193908,584872
13.01.2017,UNITED STATES,Android,133940,320614
13.01.2017,FRANCE,iOS,14877,34539
13.01.2017,FRANCE,Android,17848,37482
13.01.2017,AUSTRALIA,iOS,10523,28345
13.01.2017,AUSTRALIA,Android,3602,7993
13.01.2017,CANADA,iOS,21413,65478
13.01.2017,CANADA,Android,8724,21231
14.01.2017,GERMANY,iOS,16815,58470
14.01.2017,GERMANY,Android,24392,79901
14.01.2017,UNITED KINGDOM,iOS,34582,78407
14.01.2017,UNITED KINGDOM,Android,18956,40734
14.01.2017,UNITED STATES,iOS,200723,518433
14.01.2017,UNITED STATES,Android,139015,301825
14.01.2017,FRANCE,iOS,15322,26747
14.01.2017,FRANCE,Android,18161,31581
14.01.2017,AUSTRALIA,iOS,10338,26472
14.01.2017,AUSTRALIA,Android,3569,8017
14.01.2017,CANADA,iOS,22371,57807
14.01.2017,CANADA,Android,8912,20459
15.01.2017,GERMANY,iOS,17537,66700
15.01.2017,GERMANY,Android,25148,90875
15.01.2017,UNITED KINGDOM,iOS,35703,104877
15.01.2017,UNITED KINGDOM,Android,19399,50227
15.01.2017,UNITED STATES,iOS,204265,600811
15.01.2017,UNITED STATES,Android,141170,341873
15.01.2017,FRANCE,iOS,16170,38581
15.01.2017,FRANCE,Android,19170,44102
15.01.2017,AUSTRALIA,iOS,10604,28955
15.01.2017,AUSTRALIA,Android,3746,8895
15.01.2017,CANADA,iOS,22525,69398
15.01.2017,CANADA,Android,9092,23357
16.01.2017,GERMANY,iOS,16585,59575
16.01.2017,GERMANY,Android,23702,82359
16.01.2017,UNITED KINGDOM,iOS,33583,90175
16.01.2017,UNITED KINGDOM,Android,17996,44083
16.01.2017,UNITED STATES,iOS,206348,595359
16.01.2017,UNITED STATES,Android,142278,336365
16.01.2017,FRANCE,iOS,14929,32447
16.01.2017,FRANCE,Android,17334,36779
16.01.2017,AUSTRALIA,iOS,10301,26997
16.01.2017,AUSTRALIA,Android,3605,7751
16.01.2017,CANADA,iOS,21518,62791
16.01.2017,CANADA,Android,8690,21281
17.01.2017,GERMANY,iOS,16540,60168
17.01.2017,GERMANY,Android,23622,84147
17.01.2017,UNITED KINGDOM,iOS,32993,89916
17.01.2017,UNITED KINGDOM,Android,17813,43663
17.01.2017,UNITED STATES,iOS,196573,559357
17.01.2017,UNITED STATES,Android,136873,325568
17.01.2017,FRANCE,iOS,14463,32110
17.01.2017,FRANCE,Android,17000,35862
17.01.2017,AUSTRALIA,iOS,10395,26807
17.01.2017,AUSTRALIA,Android,3598,7763
17.01.2017,CANADA,iOS,21404,64791
17.01.2017,CANADA,Android,8631,22011
18.01.2017,GERMANY,iOS,16304,60713
18.01.2017,GERMANY,Android,23346,83340
18.01.2017,UNITED KINGDOM,iOS,32693,97809
18.01.2017,UNITED KINGDOM,Android,17734,46421
18.01.2017,UNITED STATES,iOS,193789,594243
18.01.2017,UNITED STATES,Android,134806,335606
18.01.2017,FRANCE,iOS,14771,35292
18.01.2017,FRANCE,Android,17319,38392
18.01.2017,AUSTRALIA,iOS,10217,27350
18.01.2017,AUSTRALIA,Android,3567,8023
18.01.2017,CANADA,iOS,21225,67630
18.01.2017,CANADA,Android,8673,22844
19.01.2017,GERMANY,iOS,17279,62609
19.01.2017,GERMANY,Android,23895,85279
19.01.2017,UNITED KINGDOM,iOS,33934,99061
19.01.2017,UNITED KINGDOM,Android,18144,45369
19.01.2017,UNITED STATES,iOS,197379,591532
19.01.2017,UNITED STATES,Android,136120,331684
19.01.2017,FRANCE,iOS,15236,34059
19.01.2017,FRANCE,Android,17184,35786
19.01.2017,AUSTRALIA,iOS,10431,26561
19.01.2017,AUSTRALIA,Android,3633,7870
19.01.2017,CANADA,iOS,21854,66800
19.01.2017,CANADA,Android,8592,21941
20.01.2017,GERMANY,iOS,18602,65293
20.01.2017,GERMANY,Android,24920,87200
20.01.2017,UNITED KINGDOM,iOS,35987,98764
20.01.2017,UNITED KINGDOM,Android,18882,45610
20.01.2017,UNITED STATES,iOS,207965,604057
20.01.2017,UNITED STATES,Android,141139,335251
20.01.2017,FRANCE,iOS,16691,35515
20.01.2017,FRANCE,Android,18273,37587
20.01.2017,AUSTRALIA,iOS,11275,27257
20.01.2017,AUSTRALIA,Android,3837,7873
20.01.2017,CANADA,iOS,23265,68643
20.01.2017,CANADA,Android,9134,21516
21.01.2017,GERMANY,iOS,18962,66474
21.01.2017,GERMANY,Android,24930,84773
21.01.2017,UNITED KINGDOM,iOS,38371,108223
21.01.2017,UNITED KINGDOM,Android,19888,48507
21.01.2017,UNITED STATES,iOS,220293,639932
21.01.2017,UNITED STATES,Android,147604,350600
21.01.2017,FRANCE,iOS,18124,37351
21.01.2017,FRANCE,Android,18979,38129
21.01.2017,AUSTRALIA,iOS,11252,28477
21.01.2017,AUSTRALIA,Android,3817,8533
21.01.2017,CANADA,iOS,24629,74202
21.01.2017,CANADA,Android,9540,23409
22.01.2017,GERMANY,iOS,19878,73939
22.01.2017,GERMANY,Android,26237,94699
22.01.2017,UNITED KINGDOM,iOS,39085,118477
22.01.2017,UNITED KINGDOM,Android,20288,52852
22.01.2017,UNITED STATES,iOS,222995,681551
22.01.2017,UNITED STATES,Android,148615,368255
22.01.2017,FRANCE,iOS,19409,43507
22.01.2017,FRANCE,Android,19776,43259
22.01.2017,AUSTRALIA,iOS,11333,29944
22.01.2017,AUSTRALIA,Android,3997,9250
22.01.2017,CANADA,iOS,24723,76603
22.01.2017,CANADA,Android,9482,23802
23.01.2017,GERMANY,iOS,18718,64759
23.01.2017,GERMANY,Android,24772,84640
23.01.2017,UNITED KINGDOM,iOS,36018,103186
23.01.2017,UNITED KINGDOM,Android,18771,47255
23.01.2017,UNITED STATES,iOS,211285,626470
23.01.2017,UNITED STATES,Android,142048,349199
23.01.2017,FRANCE,iOS,17247,37696
23.01.2017,FRANCE,Android,17970,37679
23.01.2017,AUSTRALIA,iOS,10963,28083
23.01.2017,AUSTRALIA,Android,3743,8345
23.01.2017,CANADA,iOS,23282,70509
23.01.2017,CANADA,Android,9142,23239
24.01.2017,GERMANY,iOS,18569,62190
24.01.2017,GERMANY,Android,24909,84484
24.01.2017,UNITED KINGDOM,iOS,35222,96927
24.01.2017,UNITED KINGDOM,Android,18682,44745
24.01.2017,UNITED STATES,iOS,207765,610301
24.01.2017,UNITED STATES,Android,141412,338505
24.01.2017,FRANCE,iOS,17299,33303
24.01.2017,FRANCE,Android,17956,34975
24.01.2017,AUSTRALIA,iOS,10876,26059
24.01.2017,AUSTRALIA,Android,3723,7763
24.01.2017,CANADA,iOS,23462,71083
24.01.2017,CANADA,Android,9016,23064
25.01.2017,GERMANY,iOS,18566,54957
25.01.2017,GERMANY,Android,24590,83950
25.01.2017,UNITED KINGDOM,iOS,34709,78103
25.01.2017,UNITED KINGDOM,Android,18217,42007
25.01.2017,UNITED STATES,iOS,204331,490365
25.01.2017,UNITED STATES,Android,139503,300989
25.01.2017,FRANCE,iOS,18086,31970
25.01.2017,FRANCE,Android,18446,34698
25.01.2017,AUSTRALIA,iOS,10784,23231
25.01.2017,AUSTRALIA,Android,3661,7049
25.01.2017,CANADA,iOS,22688,57387
25.01.2017,CANADA,Android,8897,19528
26.01.2017,GERMANY,iOS,18307,52956
26.01.2017,GERMANY,Android,24714,83870
26.01.2017,UNITED KINGDOM,iOS,34551,72791
26.01.2017,UNITED KINGDOM,Android,18403,41511
26.01.2017,UNITED STATES,iOS,203244,429098
26.01.2017,UNITED STATES,Android,139233,315905
26.01.2017,FRANCE,iOS,16843,29207
26.01.2017,FRANCE,Android,17834,32234
26.01.2017,AUSTRALIA,iOS,10629,19016
26.01.2017,AUSTRALIA,Android,3633,7205
26.01.2017,CANADA,iOS,22495,52084
26.01.2017,CANADA,Android,8831,20850
27.01.2017,GERMANY,iOS,17911,53592
27.01.2017,GERMANY,Android,24579,83582
27.01.2017,UNITED KINGDOM,iOS,34009,74576
27.01.2017,UNITED KINGDOM,Android,18242,41795
27.01.2017,UNITED STATES,iOS,202554,429580
27.01.2017,UNITED STATES,Android,138989,316775
27.01.2017,FRANCE,iOS,16625,30022
27.01.2017,FRANCE,Android,17897,33545
27.01.2017,AUSTRALIA,iOS,10554,21590
27.01.2017,AUSTRALIA,Android,3702,8268
27.01.2017,CANADA,iOS,22478,53128
27.01.2017,CANADA,Android,8895,21113
28.01.2017,GERMANY,iOS,17514,53569
28.01.2017,GERMANY,Android,24283,79939
28.01.2017,UNITED KINGDOM,iOS,35089,78127
28.01.2017,UNITED KINGDOM,Android,19246,42356
28.01.2017,UNITED STATES,iOS,209545,446391
28.01.2017,UNITED STATES,Android,143038,319610
28.01.2017,FRANCE,iOS,16970,30402
28.01.2017,FRANCE,Android,18502,32227
28.01.2017,AUSTRALIA,iOS,10482,21632
28.01.2017,AUSTRALIA,Android,3691,8401
28.01.2017,CANADA,iOS,23038,54960
28.01.2017,CANADA,Android,9143,21859
29.01.2017,GERMANY,iOS,18496,60719
29.01.2017,GERMANY,Android,24904,91489
29.01.2017,UNITED KINGDOM,iOS,35968,85709
29.01.2017,UNITED KINGDOM,Android,19838,47285
29.01.2017,UNITED STATES,iOS,209620,461729
29.01.2017,UNITED STATES,Android,144349,336697
29.01.2017,FRANCE,iOS,17751,34576
29.01.2017,FRANCE,Android,19528,37447
29.01.2017,AUSTRALIA,iOS,10702,22695
29.01.2017,AUSTRALIA,Android,3671,8394
29.01.2017,CANADA,iOS,23073,58069
29.01.2017,CANADA,Android,9212,22609
30.01.2017,GERMANY,iOS,17757,51857
30.01.2017,GERMANY,Android,24450,79322
30.01.2017,UNITED KINGDOM,iOS,33603,77168
30.01.2017,UNITED KINGDOM,Android,18622,44017
30.01.2017,UNITED STATES,iOS,202247,436082
30.01.2017,UNITED STATES,Android,140242,324534
30.01.2017,FRANCE,iOS,16057,30994
30.01.2017,FRANCE,Android,18099,34534
30.01.2017,AUSTRALIA,iOS,10183,20925
30.01.2017,AUSTRALIA,Android,3624,7816
30.01.2017,CANADA,iOS,22122,54326
30.01.2017,CANADA,Android,8906,21861
31.01.2017,GERMANY,iOS,17407,38104
31.01.2017,GERMANY,Android,23786,57914
31.01.2017,UNITED KINGDOM,iOS,33503,54631
31.01.2017,UNITED KINGDOM,Android,18396,30426
31.01.2017,UNITED STATES,iOS,202044,347953
31.01.2017,UNITED STATES,Android,140676,251313
31.01.2017,FRANCE,iOS,15872,22245
31.01.2017,FRANCE,Android,17556,24660
31.01.2017,AUSTRALIA,iOS,10027,17916
31.01.2017,AUSTRALIA,Android,3528,6658
31.01.2017,CANADA,iOS,21864,42298
31.01.2017,CANADA,Android,8816,16751